,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.06015417305337456,0.08408806077711894,0.034331981735800585,0.01
1,Fairness,0.00928297383711263,0.04456987700245674,0.05034979907964194,0.01
2,Loyalty,0.06813466465641105,0.2176963124205874,0.01149132792673527,0.01
3,Authority,0.0798028379999548,0.15251837873750373,0.008295601761750676,0.1
4,Purity,0.09217832827348516,0.22828554683240754,0.011297964116662108,0.01
5,Care,0.026608221202839455,0.11464506399107888,0.00893420885897104,0.1
6,Fairness,0.01485324597853832,0.053164652872820684,0.0423298390112379,0.01
7,Loyalty,0.14373504824516492,0.20668214205742252,0.011037467040722582,0.01
8,Authority,0.11646508458941984,0.15210999236817224,0.00801158846317385,0.1
9,Purity,0.14048976446613926,0.22328665835246597,0.01044238376665924,0.01
10,Care,0.004903213331052592,0.10946118789324266,0.02693510351819173,0.01
11,Fairness,-0.005388762221295584,0.049125342967825114,0.002064977463740975,0.99
12,Loyalty,0.14267217408126787,0.19476785197757118,0.002527988983661733,0.5
13,Authority,0.08697509754238963,0.14351535253827097,0.009464018517644206,0.1
14,Purity,0.15823949036407692,0.2035306519146638,0.01317707891901283,0.01
15,Care,0.031591390877586445,0.09826547931143925,0.03183643124311271,0.01
16,Fairness,0.017192683348269733,0.051681512075500424,0.005288396486006278,0.3
17,Loyalty,0.10356303357725805,0.21007746572629027,0.012408998145922947,0.01
18,Authority,0.06297837658342398,0.15787202978252168,0.019444532209704022,0.01
19,Purity,0.1009325048021843,0.21052846472539033,0.0021335514133099935,0.9
20,Care,0.06945738619206532,0.06961239331379399,0.04809315974069882,0.01
21,Fairness,0.017772259634080467,0.03764995429915208,0.06552652640096746,0.01
22,Loyalty,0.12138398066982081,0.21313202568993206,0.0062331468415329164,0.1
23,Authority,0.058675877112317254,0.1690751911441749,0.003912991943390658,0.3
24,Purity,0.15557920925130386,0.20986188654021776,0.007384862585669324,0.1
25,Care,0.06681079683389224,0.08793765396612807,0.03103054562352367,0.01
26,Fairness,0.0018985492237916235,0.06976756047537058,0.029281544765853235,0.01
27,Loyalty,0.14394207789989388,0.2058225753963604,0.010839769130201024,0.01
28,Authority,0.11140744869734398,0.1446378189850659,0.004171299108487342,0.3
29,Purity,0.1440382104122041,0.21667337011159493,0.011765734494825665,0.01
30,Care,0.03460919839594501,0.08696012000321063,0.01308954613216515,0.1
31,Fairness,0.02040993764416743,0.03887440033872014,0.06057930319578933,0.01
32,Loyalty,0.1012391059369564,0.20871932685991734,0.012586152011038007,0.01
33,Authority,0.06997987655756399,0.15883539969073612,0.01812966802672013,0.01
34,Purity,0.12207572941740708,0.21108706106537034,0.013302565203260874,0.01
35,Care,0.04411638693523212,0.09952079110376688,0.02930855842611455,0.01
36,Fairness,0.02272306989819517,0.05246365791372576,0.03996280567384328,0.01
37,Loyalty,0.10397225813535849,0.20974648044821875,0.011544793148573663,0.01
38,Authority,0.07981398074496926,0.15999489958116564,0.016413491647239112,0.01
39,Purity,0.11907385598688258,0.22059363886655026,0.011095988968515408,0.01
40,Care,0.03332561693958269,0.09772900114111549,0.031894940264581666,0.01
41,Fairness,0.0009409954218372318,0.0559740662377084,0.012232359304932305,0.1
42,Loyalty,0.08828788383870545,0.21520692391842833,0.006707833653219617,0.1
43,Authority,0.04202612049480792,0.17470051925570962,0.00741417245212979,0.1
44,Purity,0.12658442269768033,0.2114753363894626,0.01376630550133399,0.01
45,Care,0.03735822987184578,0.09806866081388288,0.03139002359510187,0.01
46,Fairness,0.025280841405386667,0.04949843533669518,0.04372271595668345,0.01
47,Loyalty,0.14215097854055192,0.1804706790913867,0.004435931696482688,0.3
48,Authority,0.08902368666149219,0.16540554596062862,0.0074785892350630444,0.1
49,Purity,0.13006900675389133,0.21167377080749916,0.013757441226509091,0.01
50,Care,0.04743152749336499,0.09497947648585114,0.03033549444846767,0.01
51,Fairness,0.013833166262164909,0.05438754461533435,0.043638784504096535,0.01
52,Loyalty,0.08575744214870407,0.2082607980403136,0.006993417111672892,0.1
53,Authority,0.04224792154195178,0.16268438393544427,0.018497213526068573,0.01
54,Purity,0.1281735605096418,0.20629477354431391,0.01434073962481721,0.01
55,Care,0.04393449781857406,0.09253387031154181,0.033946592407952066,0.01
56,Fairness,0.006670122710004334,0.052043077072760124,0.043584884438678556,0.01
57,Loyalty,0.12568321742241406,0.20131266952419113,0.013278073375943797,0.01
58,Authority,0.07807722835143227,0.1622457065660038,0.017446103320846385,0.01
59,Purity,0.13637115923851928,0.21188682447229645,0.013616027830986721,0.01
60,Care,0.0381491662314426,0.10406278615487241,0.026369338758860418,0.01
61,Fairness,0.007914064086483097,0.045682686766335134,0.048437267081881494,0.01
62,Loyalty,0.11633303854450983,0.2093644748126121,0.011279077325007157,0.01
63,Authority,0.09591791107738279,0.14955510384663384,0.008576053849950952,0.1
64,Purity,0.11349965819519447,0.210627412968884,0.013905627898009025,0.01
65,Care,0.037450877370550084,0.10224164361761923,0.02789875640152511,0.01
66,Fairness,0.01649572468180649,0.06464245906255695,0.030169631035905482,0.01
67,Loyalty,0.12199531100666794,0.19848937386431498,0.013755569091607675,0.01
68,Authority,0.08174820584116049,0.1555745502277479,0.018045502153924527,0.01
