,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.05030128638797371,0.0973077015056647,0.24786114140175766,0.1
1,Fairness,0.011031189303471134,0.1002803518440426,0.17927793326666414,0.1
2,Loyalty,0.13145471943916331,0.2403565379166992,0.686592194537913,0.01
3,Authority,0.11955120004770292,0.15619903912075228,0.8951838368738527,0.01
4,Purity,0.1637865986699254,0.24066805364336175,0.8649559891633023,0.01
5,Care,0.06306415102328222,0.12492021543645726,0.19796776073788067,0.1
6,Fairness,0.022589894766220864,0.08816483017021082,1.1309338050793505,0.01
7,Loyalty,0.15954198513883455,0.2188399216243887,0.1923889918933104,0.1
8,Authority,0.08399810234449734,0.14099597371218053,0.040426109294634055,0.7
9,Purity,0.12573653818425334,0.23363503948221775,0.26873273779448636,0.1
10,Care,0.05066271794591881,0.09920668452035175,0.08895485623366016,0.3
11,Fairness,0.017712241154357877,0.0846644076847417,0.2078020807046435,0.1
12,Loyalty,0.1280824233504687,0.23593197250139775,0.18546035442101036,0.1
13,Authority,0.06115354176947585,0.1811025423271294,0.18207899852079387,0.1
14,Purity,0.1444869075014399,0.26300116936357354,0.6711066307350291,0.01
15,Care,0.039420180410292716,0.13126675716937997,1.0175714168359153,0.01
16,Fairness,0.02898342207050386,0.04322875128624204,0.1005559776199546,0.3
17,Loyalty,0.1316025976793278,0.2228686560489499,0.2078945348361409,0.1
18,Authority,0.07800098744657935,0.1652289811058757,1.0038997798386198,0.01
19,Purity,0.15342840328195972,0.23780350787447324,0.9470802057137082,0.01
20,Care,0.04554768945240062,0.10623637151617638,0.08894876045027023,0.3
21,Fairness,0.006270316485008309,0.08658925561494002,0.2109811161617718,0.1
22,Loyalty,0.09626414438845687,0.24284857354464262,0.17802109944103064,0.1
23,Authority,0.021448804394792687,0.19345100061354292,0.17771642507640634,0.1
24,Purity,0.1157862253887384,0.25724012275799557,0.8291426429262793,0.01
25,Care,0.04153051872897473,0.09341258262267726,0.09899867780386952,0.3
26,Fairness,0.027108935143555835,0.07752488145868441,1.2329935373637337,0.01
27,Loyalty,0.1332343791190569,0.22086380936031613,0.025166804950757637,0.99
28,Authority,0.08295392313425842,0.14073656557203984,0.028516327061195647,0.99
29,Purity,0.1434112296823773,0.24545487794035925,0.8722492657135352,0.01
30,Care,0.039663425582502576,0.14802300234064703,0.849192356399991,0.01
31,Fairness,0.027225552300437106,0.08393677895601281,1.192820837880295,0.01
32,Loyalty,0.12042879338606971,0.23885968382996237,0.1748205661867529,0.1
33,Authority,0.0781131846112908,0.15015651236608263,0.0279318241553038,0.99
34,Purity,0.06588522090117477,0.2544891578827032,0.08934847242909856,0.3
35,Care,0.0427372955810531,0.13015145409417872,1.0424019545125403,0.01
36,Fairness,0.02759637786433433,0.07601750930470164,0.22715450756393932,0.1
37,Loyalty,0.14471380659508148,0.24273891361460098,0.16605498991171028,0.1
38,Authority,0.08016844896649233,0.1782873444983012,0.18360382339230494,0.1
39,Purity,0.1620607576168447,0.24554143603264222,0.8779526579253976,0.01
40,Care,0.05070240241192703,0.126431284204083,1.055520097039352,0.01
41,Fairness,0.03155266935536072,0.07046064267003682,1.3523355719031416,0.01
42,Loyalty,0.13896982014414616,0.22806933073979396,0.19663090457610582,0.1
43,Authority,0.07166630235149596,0.1718126550648219,0.9471626915921838,0.01
44,Purity,0.13315148077886652,0.24978061071415558,0.8649814903964422,0.01
45,Care,0.0363021687524655,0.09755037968335611,0.02914370422031299,0.99
46,Fairness,0.008111121938020882,0.0591118718305621,0.030943817463254086,0.99
47,Loyalty,0.14330369708364477,0.2044713420713915,0.22589749128159783,0.1
48,Authority,0.08530085436851864,0.17539160025484746,0.8127923747836444,0.01
49,Purity,0.1727830906767398,0.23752596326398734,0.8896932611027113,0.01
50,Care,0.0025943115133152395,0.14861760750713693,0.17965391218635265,0.1
51,Fairness,0.01751223943614133,0.05954925229246433,0.09064713475069745,0.3
52,Loyalty,0.1457674487784395,0.23742325465355574,0.7157155923334153,0.01
53,Authority,0.09171805152716894,0.16840992474435312,0.19871705282690605,0.1
54,Purity,0.1468418840784127,0.24496145908146305,0.89786693762633,0.01
55,Care,0.036305455085219984,0.10296941026035666,0.091883096688796,0.3
56,Fairness,0.020793586224250094,0.0433824923365399,0.03393927468769312,0.99
57,Loyalty,0.14883812646464234,0.2263073123447693,0.7991097681717216,0.01
58,Authority,0.10393638044464593,0.15929361140112808,0.9430560699714281,0.01
59,Purity,0.16949368063941794,0.2372008716288505,0.8498261119751277,0.01
60,Care,0.058842476630988516,0.1015897612054597,0.08465248007620439,0.3
61,Fairness,0.03814101700135797,0.08372676775969523,1.1457563843600636,0.01
62,Loyalty,0.12412987691127897,0.23575749983243188,0.76225818050027,0.01
63,Authority,0.042418353130031394,0.16886353068151005,0.2110366514687339,0.1
64,Purity,0.14806360662860585,0.24209518658538487,0.8913008361702881,0.01
