,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.037611244765756835,0.08647422604468047,0.001777331447415692,0.01
1,Fairness,0.0003189644140770831,0.04284435357567529,0.003504737878509882,0.01
2,Loyalty,0.09462761768134331,0.1775554401328916,0.0006117874900194772,0.1
3,Authority,0.05708061533275666,0.1061584299251247,0.001039913322326977,0.1
4,Purity,0.11319682375558127,0.2056154913474294,0.0005486296250010403,0.3
5,Care,0.0498947832377965,0.08660427487348243,0.0017181869119748568,0.01
6,Fairness,0.01563733570215564,0.03772870518629523,0.0010615058157031113,0.5
7,Loyalty,0.13709939686701977,0.15904941390507166,0.0007583066369987474,0.1
8,Authority,0.07623116075239,0.08038512335864867,0.002252762291356542,0.01
9,Purity,0.14731706509599252,0.19468501465995092,0.0004973176283477983,0.7
10,Care,-0.0068926589321109955,0.10656119306799083,0.0007078053102980886,0.3
11,Fairness,-0.008616147922090978,0.0499142027287518,0.001995481016417965,0.1
12,Loyalty,0.07559853588049736,0.19221609583130106,0.0005123075293535969,0.1
13,Authority,0.04003218635643635,0.10774269410125592,0.0011904783147317344,0.1
14,Purity,0.12869688219959508,0.19157013260710176,0.000662764719460711,0.3
15,Care,0.004026436167050673,0.09484948636285351,0.0014412385664554972,0.1
16,Fairness,0.0074024316143675994,0.0458847985702413,0.0013275535852317647,0.3
17,Loyalty,0.0834045815258796,0.1746991225458897,0.0006964263227406869,0.1
18,Authority,0.020423495885904197,0.1174742920395706,0.0007878905118514277,0.3
19,Purity,0.12757249572834362,0.20287549324412868,0.0005043247683353728,0.3
20,Care,0.06075854626151844,0.05759976717232085,0.004440019309125174,0.01
21,Fairness,0.01329505499030903,0.037539241107467425,0.0014623606033764577,0.3
22,Loyalty,0.10405876343425058,0.16753905752363352,0.0007810876709625874,0.1
23,Authority,0.04127505591054148,0.09791292324654455,0.001969311244159029,0.01
24,Purity,0.1376005758734573,0.19465715550247553,0.0005590465858012478,0.5
25,Care,0.06689164681638404,0.07333739041428211,0.00160853051553908,0.1
26,Fairness,-0.003387777178034179,0.037902094592607516,0.0015467974526897977,0.3
27,Loyalty,0.10419881012475896,0.17089947576034603,0.0007024376864171764,0.1
28,Authority,0.05474717580103661,0.09125978525990219,0.0011182516689572145,0.3
29,Purity,0.11709970655830015,0.2023163800515011,0.0005071756631041215,0.7
30,Care,0.020307199770369877,0.08945118968811838,0.0019462565638623342,0.01
31,Fairness,0.018772047689695315,0.041934354369709936,0.001225048403294365,0.3
32,Loyalty,0.11385393741597383,0.16989896592472342,0.0007018513682721289,0.1
33,Authority,0.05006516285350315,0.10638235520818284,0.00139121354082251,0.01
34,Purity,0.13613056753894104,0.20390221243375095,0.0005053506929878554,0.1
35,Care,0.03566794401326667,0.08622184109305864,0.0019927432395964503,0.01
36,Fairness,0.002487608074272396,0.03282674442526479,0.0009978303115781898,0.7
37,Loyalty,0.11122108285525134,0.17157093929978573,0.0006427643468747367,0.1
38,Authority,0.06628351919444309,0.10462968177402854,0.0006095837581213061,0.5
39,Purity,0.1383041299179304,0.19094315449722732,0.0005940014249579142,0.3
40,Care,0.034706953261445794,0.08362558046100799,0.002248620111325376,0.01
41,Fairness,0.005495416519832874,0.04816253823920358,0.001279165535754614,0.3
42,Loyalty,0.07934380443013767,0.1863132634423016,0.0005691124289085753,0.1
43,Authority,0.03604433704745491,0.1117863480602469,0.001319586801607634,0.01
44,Purity,0.11180367696614257,0.21702187595564848,0.00044759108506678256,0.3
45,Care,0.025809791880115784,0.1040981021235644,0.0007192061102227509,0.3
46,Fairness,0.014069172725699741,0.04409130770567471,0.002228142758667353,0.1
47,Loyalty,0.10707754834250494,0.1728010798371491,0.0006540593243484591,0.1
48,Authority,0.04417116849315794,0.0978797264943434,0.001858366568682292,0.01
49,Purity,0.1448538419041291,0.19162068558729062,0.0005516010206060219,0.5
50,Care,0.043089203921318875,0.07087911280523207,0.0030273443595415696,0.01
51,Fairness,0.01786792469907683,0.04869586130391734,0.0006796157627429976,0.7
52,Loyalty,0.1072314888812208,0.16589043512184132,0.0007352349768788368,0.1
53,Authority,0.02259539014747236,0.10373851499007247,0.0016959755515440751,0.01
54,Purity,0.13006007310892476,0.19436916820693562,0.0006080457952564976,0.3
55,Care,0.037334029721025064,0.08316961955338675,0.002142385953869673,0.01
