,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.07372371992603244,0.15886562188784192,0.007780686976272824,0.1
1,Fairness,0.04542260007876675,0.08857717193639336,0.027149827113593452,0.01
2,Loyalty,0.18636591714147077,0.27948541177042496,0.010106105704206557,0.01
3,Authority,0.14376922611446907,0.16545333977277898,0.021510431826701454,0.01
4,Purity,0.1878416730248037,0.2856377368663797,0.004205622511505843,0.3
5,Care,0.08277547670677077,0.15317933765643066,0.018155550924672227,0.01
6,Fairness,-0.0006602756040718916,0.1358773790383997,0.014129303706417812,0.01
7,Loyalty,0.1873189025777453,0.2864889247368977,0.005751858581828657,0.1
8,Authority,0.10979673089866548,0.1857181647977013,0.019687393440067417,0.01
9,Purity,0.2262325346139853,0.2785786141314571,0.0043248176007894875,0.3
10,Care,0.08127456669345767,0.15561208606358234,0.01801918906461583,0.01
11,Fairness,0.0037611022515058323,0.12572045514734054,0.017619108680428902,0.01
12,Loyalty,0.17575593548407042,0.2689185992719736,0.0136304781961769,0.01
13,Authority,0.11004257782803173,0.18147481071477334,0.020508028969256752,0.01
14,Purity,0.21710777165503015,0.2993517601268584,0.00585765789816475,0.1
15,Care,0.08017090252504622,0.14891115683324208,0.019717016023400785,0.01
16,Fairness,0.034818542117764695,0.09267346621981676,0.025744968645412487,0.01
17,Loyalty,0.12733517552054407,0.27997030459473604,0.013178303454628405,0.01
18,Authority,0.08272088327893068,0.2071251865328988,0.015383492281955251,0.01
19,Purity,0.1837829216000031,0.30495975184523916,0.005942448426552352,0.1
20,Care,0.0488974742367877,0.1545200508968766,0.020137294032914144,0.01
21,Fairness,0.05337553286654606,0.08468160616520992,0.027062938376770197,0.01
22,Loyalty,0.18566237388346207,0.28062933620425234,0.010175029094166005,0.01
23,Authority,0.07719672061096416,0.21022684609757825,0.014722305740150496,0.01
24,Purity,0.1396262986507395,0.33182367251244016,0.004723269284015105,0.1
25,Care,0.0554616867585529,0.1643723723619831,0.01759358235710458,0.01
26,Fairness,0.021020988554763753,0.12123348497223585,0.017235619975518087,0.01
27,Loyalty,0.1876180401178732,0.27154434543443173,0.012082340966631076,0.01
28,Authority,0.13005559191612825,0.16358313288573334,0.025490414880069562,0.01
29,Purity,0.1961548996847714,0.29785170581677667,0.00960599898930503,0.01
30,Care,0.06371601944210281,0.16085649559703197,0.017921580209177577,0.01
31,Fairness,0.01546589690328748,0.12505341915838675,0.01675089300590957,0.01
32,Loyalty,0.1463101682221507,0.26526510003140447,0.01606448408142715,0.01
33,Authority,0.11124603556674928,0.1908736285649485,0.017686377813586646,0.01
34,Purity,0.15367752191365924,0.30934392586106685,0.006148199766719835,0.1
35,Care,0.06612645097786785,0.15362070498536207,0.01976170563741525,0.01
36,Fairness,0.030282740014434317,0.1238515925571424,0.015943372101726586,0.01
37,Loyalty,0.20450637813536732,0.26672477367519176,0.01255559286885264,0.01
38,Authority,0.1262481646231961,0.18725080127666938,0.01753881436153577,0.01
39,Purity,0.23740353358423905,0.29009045645691545,0.006198987657794537,0.1
40,Care,0.12009641232644419,0.14308906145268574,0.01815416718191534,0.01
41,Fairness,0.0702820259314173,0.06866308826140088,0.032089242689397314,0.01
42,Loyalty,0.1844337887857782,0.29981971365708304,0.0049681340147543565,0.1
43,Authority,0.10005887088598053,0.2034912904912548,0.015750161953056382,0.01
44,Purity,0.16351025572169753,0.32917524895578976,0.0030524806785852533,0.3
45,Care,0.07491849031463305,0.13925058030650062,0.0097555669188354,0.1
46,Fairness,0.003315373228148122,0.1078339359558903,0.023439962195132457,0.01
47,Loyalty,0.16633901738893286,0.28828519629675253,0.009924023522063813,0.01
48,Authority,0.09355614544380297,0.19239582855145088,0.01889788850194184,0.01
49,Purity,0.19007417877730104,0.2930754712921565,0.006573640474031831,0.1
50,Care,0.012846872693596634,0.1699356488881859,0.016746995634260953,0.01
51,Fairness,0.033456345360213025,0.06884936944409437,0.03852223481872106,0.01
52,Loyalty,0.19631799518896687,0.25483901058684366,0.015006815142933342,0.01
53,Authority,0.1332108641144184,0.18339614371986623,0.018151258445834602,0.01
54,Purity,0.19767972372551357,0.2840462821034633,0.004199162687008055,0.3
55,Care,0.09526354633748213,0.1461515122414957,0.01960922791986944,0.01
56,Fairness,0.03345169976109663,0.12245054389888765,0.016022115360073492,0.01
57,Loyalty,0.17042210148731185,0.2933059107703466,0.005477818239665668,0.1
58,Authority,0.11173390053042498,0.19812341618611273,0.015545252405582976,0.01
59,Purity,0.18979328047715383,0.3205378938642113,0.004819675069562814,0.1
60,Care,0.05938855873994153,0.16653341283643552,0.015534724355942529,0.01
61,Fairness,0.03455431341158122,0.12337842791376175,0.015387300333191828,0.01
62,Loyalty,0.1637785588590095,0.2922801436319312,0.009219516374299895,0.01
63,Authority,0.08462382355177989,0.1890290704607933,0.02005148236125734,0.01
64,Purity,0.17533395699656396,0.31421011170944013,0.0032526634242407257,0.3
65,Care,0.08092738475048034,0.16015951245855597,0.007718872961174387,0.1
66,Fairness,0.00946486538024538,0.1172141270612106,0.019553471643139832,0.01
67,Loyalty,0.14021527362409747,0.2782054869202564,0.01381024813029962,0.01
68,Authority,0.09269310759209326,0.19694108555549728,0.018236525947120753,0.01
69,Purity,0.1850321397175173,0.3106807240899967,0.0034918997934798774,0.3
70,Care,0.06987495462685589,0.15833205426009955,0.017771543531877102,0.01
71,Fairness,0.008123282697876877,0.12139335242918636,0.01838866706816652,0.01
72,Loyalty,0.20285708316790574,0.27071589725673484,0.011148983356095805,0.01
73,Authority,0.11189376474325508,0.17871762255574153,0.02081897539095674,0.01
74,Purity,0.21062833667836744,0.3071289865105179,0.00535849772287697,0.1
75,Care,0.06649500092690441,0.16573177122762894,0.007301264622148967,0.1
76,Fairness,-0.002871780604086549,0.14556635869175105,0.0129971555378048,0.01
77,Loyalty,0.17825101881809324,0.26385195184757926,0.013873600043668517,0.01
78,Authority,0.12979407913161467,0.16942273575089672,0.022819272429766838,0.01
79,Purity,0.19906597296490747,0.3002542889241223,0.005957724786792418,0.1
80,Care,0.0687526620087292,0.15052286028336437,0.019578618815136315,0.01
81,Fairness,0.03974741329207854,0.08998179008042428,0.024014881884234122,0.01
82,Loyalty,0.14352830757991097,0.3068064195466548,0.0028087382795327284,0.3
83,Authority,0.06198364609419804,0.2141662457245791,0.013832216766542485,0.01
84,Purity,0.16865658322769728,0.3232577412031338,0.0022437824826806478,0.5
85,Care,0.07351245812486962,0.16126723557948985,0.007776465009891007,0.1
86,Fairness,0.027227294590134066,0.11261959649662057,0.018994580543848092,0.01
87,Loyalty,0.16241903374868505,0.29499411664331965,0.009240373999609615,0.01
88,Authority,0.056924648862999194,0.2193640029324584,0.013923469977359451,0.01
89,Purity,0.1549348217340435,0.30094253878892985,0.0040578707998768105,0.3
