,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.0865531422384328,0.12453926527406567,0.0008273338255414778,0.01
1,Fairness,-0.0040161972495058595,0.05239713330769569,0.000656028803813413,0.99
2,Loyalty,0.19158977133485433,0.2603568476965413,0.0002710857144995949,0.3
3,Authority,0.1252728080872454,0.17174947256333106,0.0005283512685947763,0.1
4,Purity,0.16962434006363725,0.28118806876395874,0.0003308313149290531,0.5
5,Care,0.08093847381979191,0.13363241541028192,0.0006387491335551904,0.01
6,Fairness,0.03340549808951243,0.08596123296057534,0.0008540592897112452,0.01
7,Loyalty,0.18445354091189514,0.2778344659344978,0.0001954764341306511,0.1
8,Authority,0.1389926547024143,0.1745148177218856,0.0003150424847779981,0.99
9,Purity,0.2133902987983205,0.2758467041511783,0.0002928402340227099,0.1
10,Care,0.050996093288940725,0.14339646073837253,0.0005999238281532761,0.01
11,Fairness,0.03536009491589431,0.07915382378249936,0.0009368689518700425,0.01
12,Loyalty,0.18270853511463137,0.2767457821782924,0.00019014440799695594,0.3
13,Authority,0.10260821367523021,0.18895499958051132,0.00036587877508127584,0.1
14,Purity,0.21463191634602974,0.27117854990026347,0.00031980046312793793,0.7
15,Care,0.05808538421315601,0.13765194161029815,0.0006919020891289789,0.01
16,Fairness,0.03411345929100862,0.09364023111305442,0.0006511002262152327,0.01
17,Loyalty,0.17249552400821366,0.25624771008642044,0.0003039931255099331,0.1
18,Authority,0.09983946421650902,0.18447497018248893,0.0004496270916589556,0.1
19,Purity,0.19600745003532205,0.2881378592273024,0.0002809736127603641,0.9
20,Care,0.08758525215067547,0.12136742593527716,0.0007175764082107591,0.1
21,Fairness,0.0401332480804667,0.07478578193307628,0.0010027667651388433,0.01
22,Loyalty,0.14529378220815892,0.2651617274439293,0.0002864492926437513,0.5
23,Authority,0.06438470576125221,0.19431721595484908,0.00036503237679112884,0.5
24,Purity,0.15926663544796982,0.2955368412579815,0.00023706511809935883,0.3
25,Care,0.09879485731795579,0.1315290137934313,0.000642032396293749,0.01
26,Fairness,0.035874981162055564,0.09075155133397261,0.0007402173668120784,0.01
27,Loyalty,0.12593672552084012,0.2731414857297949,0.00026863598881756264,0.1
28,Authority,0.055196601251153,0.19457386162944912,0.00042018804699154927,0.1
29,Purity,0.13886004900738125,0.29132071743522914,0.00028932372954892655,0.1
30,Care,0.062014037506117003,0.14122464378914223,0.000616805008532091,0.01
31,Fairness,0.01784437437430042,0.0781694297536717,0.0010155334594324856,0.01
32,Loyalty,0.17762402215770923,0.25566506856610116,0.00031150553969035106,0.1
33,Authority,0.12698155572066583,0.1665661837799528,0.0005754351149311998,0.1
34,Purity,0.21234326091721056,0.26123282002523696,0.00039169292925817113,0.1
35,Care,0.07483510589732878,0.12641090074789696,0.000787080070280675,0.01
36,Fairness,0.04507911569783396,0.08394482479971799,0.0007996666443607335,0.01
37,Loyalty,0.1756734739634328,0.27328241317071733,0.00023501628745113915,0.1
38,Authority,0.10703385129563536,0.1913169642958884,0.0003984907109303877,0.1
39,Purity,0.2162723233510102,0.2780917632631861,0.00029431370403502856,0.1
40,Care,0.05127014416147013,0.13686682113650062,0.0004531266599979227,0.3
41,Fairness,0.01154564917228873,0.09254847481972872,0.0007353867953872079,0.01
42,Loyalty,0.22619163890443506,0.26282538893915053,0.0002061209866708417,0.1
43,Authority,0.12390418088970467,0.1814754918920185,0.00030170927944746836,0.99
44,Purity,0.2579887096912161,0.26919251297581914,0.0002757905427950083,0.1
45,Care,0.07605048171719064,0.13401320836130726,0.0006656310988229163,0.01
46,Fairness,0.03395050087049256,0.07231688126286762,0.0012113124824598008,0.01
47,Loyalty,0.20312150764125836,0.2560713852475833,0.00029429828006563656,0.3
48,Authority,0.14865767608671498,0.17196147372277404,0.0004297907315520175,0.3
49,Purity,0.2022204524914616,0.2836025969006881,0.00027952690199360735,0.1
50,Care,0.09152467320454083,0.12927885633256453,0.00045331309621773024,0.3
51,Fairness,0.04749851694545215,0.07720940584195246,0.0009769839424355804,0.01
52,Loyalty,0.13657078083766983,0.26741482114320614,0.000281052722772387,0.1
53,Authority,0.1298249415871885,0.1742094237225973,0.00046761815769365674,0.1
54,Purity,0.15733670800881516,0.2902052336066371,0.00026355017569285814,0.1
55,Care,0.07097199877460258,0.12696250629452022,0.000828139532518587,0.01
56,Fairness,0.03306727913907992,0.06841382304226074,0.0012309639720798511,0.01
57,Loyalty,0.2056865005878482,0.2565768143822379,0.00025033249472600975,0.3
58,Authority,0.1259864462745306,0.17426922048039184,0.00047427996161508056,0.1
59,Purity,0.23078798648369026,0.26737254548434974,0.00031834964723381044,0.5
60,Care,0.06065114661728721,0.14358233981741608,0.0005591279766056094,0.01
61,Fairness,0.014726287709867614,0.08218960437933343,0.0008022631844486928,0.1
62,Loyalty,0.14083530341883177,0.2793728627301193,0.0002153218765541553,0.1
63,Authority,0.08931911088193467,0.18844406890482324,0.0004072851916757309,0.1
64,Purity,0.19744344743512643,0.28204081028714456,0.0002871108775010183,0.1
65,Care,0.05569305848008077,0.1529591562907875,0.0004710723593698644,0.01
66,Fairness,0.008817309035244358,0.10458071741986075,0.0005715892683654616,0.01
67,Loyalty,0.1835202679137855,0.27301384826882535,0.00022462621181566192,0.3
68,Authority,0.10736352034025487,0.1846439218312601,0.0004567600427185421,0.1
69,Purity,0.18245503709480848,0.2854148722016029,0.0003029439729632243,0.1
70,Care,0.07506094267888619,0.12984789991439882,0.0007176841470956557,0.01
71,Fairness,0.03798949843158994,0.08971968095303529,0.0007505543103356293,0.01
72,Loyalty,0.17142863298372257,0.27060907027701153,0.0002362076111985734,0.1
73,Authority,0.08667487407437824,0.1871465677445906,0.00041673373077608013,0.3
74,Purity,0.22942846548966989,0.2714146829880021,0.00030019427942761916,0.3
75,Care,0.050145949119673294,0.13303746041420306,0.0007805509258194662,0.01
76,Fairness,0.02054672663452395,0.08108934982715565,0.0010233375418307916,0.01
77,Loyalty,0.16401310166455108,0.2755766295618166,0.00023397987901102086,0.1
78,Authority,0.1045473689113613,0.18762471990916063,0.0004068611014327573,0.1
79,Purity,0.20449139410399342,0.2818160637822207,0.00026930268951829973,0.1
80,Care,0.030890012876620743,0.15849998723180714,0.0002955831771496311,0.7
81,Fairness,0.010656362557260435,0.09616505953856302,0.0007175597624715583,0.01
82,Loyalty,0.1733230531078105,0.2690704860193671,0.0002385362037541254,0.1
83,Authority,0.12408779714924767,0.17311580352777023,0.0005087768126714471,0.1
84,Purity,0.21449183146368855,0.2761051770435373,0.00030816314638544654,0.7
85,Care,0.09653937499311582,0.12182933085059089,0.0007243121884014243,0.01
86,Fairness,0.05038587013082074,0.08399802386033683,0.0007560875142964085,0.01
87,Loyalty,0.22275833330100336,0.24943863093903496,0.0002959919996376568,0.1
88,Authority,0.15855455788881467,0.17644393319477059,0.00037372411168675606,0.1
89,Purity,0.2531432606974674,0.2659180917979431,0.00029859517121605145,0.1
90,Care,0.07885949930497937,0.13331052782499675,0.0004766968865238357,0.3
91,Fairness,0.04285066195535403,0.08021320775235352,0.0008728269788491218,0.01
92,Loyalty,0.1551330016328828,0.2769410127309151,0.00023374025360751633,0.3
93,Authority,0.05609747245502117,0.20242607858284467,0.00039972127899631836,0.1
94,Purity,0.12628601500404701,0.297331562810322,0.00028694637786287646,0.5
95,Care,0.08823169946518672,0.12424564786476744,0.0008003001026976564,0.01
96,Fairness,0.021892958287072162,0.08284926056152564,0.0009562065977308679,0.01
97,Loyalty,0.18661853405951812,0.2584829391828365,0.00026893056035964715,0.1
98,Authority,0.10243424976964965,0.1757336339565938,0.0005376882470047746,0.1
99,Purity,0.21025372224450756,0.2730815539960164,0.0003149422622690809,0.3
100,Care,0.10198241838678745,0.13173698345348028,0.00039752402435568285,0.3
101,Fairness,0.02905525464664227,0.09119924163119353,0.0006823874962672335,0.01
102,Loyalty,0.12487110301790105,0.2796793233386913,0.00024372250390992023,0.1
103,Authority,0.04198225402763178,0.21853720799071352,0.00020767986920785232,0.99
104,Purity,0.18149157949503392,0.279949373557036,0.0003152817270910798,0.1
105,Care,0.041837111087777434,0.13972661823271437,0.0004830195425692785,0.3
106,Fairness,0.02285376854847776,0.09091570843418084,0.0007825082557366604,0.01
107,Loyalty,0.22073046694893061,0.25549349205926075,0.00025067086827240307,0.3
108,Authority,0.11500721904578104,0.17240242765544067,0.0003510715195496241,0.9
