,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.053396824163931544,0.07065386747800628,5.910738372992907e-05,0.1
1,Fairness,0.003876523059208603,0.03920883046718737,6.830231215562219e-05,0.7
2,Loyalty,0.12407160698221587,0.19754239942480534,7.678684391991403e-06,0.7
3,Authority,0.08950698048295358,0.13215327374041386,2.27480280521393e-05,0.9
4,Purity,0.15516864177924206,0.21823909646466466,2.0576700621530797e-05,0.9
5,Care,0.06153966222507856,0.0666202345336524,6.78315900818481e-05,0.1
6,Fairness,0.022899795494748187,0.023443389152904448,0.00014517100612998854,0.99
7,Loyalty,0.17431025898731878,0.16055231233217626,9.893932574415586e-05,0.99
8,Authority,0.10965580636213057,0.11518229948574599,3.217126287785637e-05,0.7
9,Purity,0.18699639224141718,0.20571950742395673,5.263384538035264e-05,0.99
10,Care,0.039282173902870476,0.07320608931888806,6.545631065824082e-05,0.1
11,Fairness,0.007324135850406366,0.03226099794902926,9.857792423828069e-05,0.7
12,Loyalty,0.14649308866322297,0.18492423191122187,2.747375720948026e-05,0.9
13,Authority,0.08895006707153108,0.1262453457953301,4.0102462227853625e-05,0.9
14,Purity,0.1927708389267092,0.20735271047423687,4.4421437649397144e-05,0.99
15,Care,0.02262012611646458,0.080502891851844,5.130037787360214e-05,0.1
16,Fairness,-0.0016503532158316236,0.029651939454394816,0.0001768948277505399,0.99
17,Loyalty,0.14298059498115356,0.18795590035698861,9.48301927722655e-06,0.5
18,Authority,0.07182823371922331,0.13250915966065036,3.991376276427375e-05,0.9
19,Purity,0.1435874487412434,0.2201724335913292,4.4344790567237774e-05,0.99
20,Care,0.05465067225927989,0.07393521421418991,4.543957646016845e-05,0.1
21,Fairness,0.008228689907662012,0.024225041256470514,0.00017056574001270844,0.99
22,Loyalty,0.08756792104244926,0.1921218048147908,5.818546442053109e-05,0.99
23,Authority,0.0348848194725363,0.13846297081655135,2.2338097728145355e-05,0.7
24,Purity,0.14031084193171117,0.2177177017301678,2.2557604102006206e-05,0.9
25,Care,0.06576500481821335,0.06987730617978138,5.144342504526696e-05,0.1
26,Fairness,0.011821483947355826,0.027855994069715284,0.0001336777149239968,0.9
27,Loyalty,0.10284832310423186,0.19472445548707984,2.933689766244803e-05,0.9
28,Authority,0.056870443170671914,0.13395506943884739,4.220819843645569e-05,0.9
29,Purity,0.14194827429579548,0.2170498236265751,5.850401896262474e-05,0.99
30,Care,0.011913273301548788,0.08310950715211651,5.540487380029647e-05,0.1
31,Fairness,-0.003933270128666511,0.03283790369577955,0.000113079638597907,0.99
32,Loyalty,0.1416354733812275,0.18093037937125933,1.2131220321716611e-05,0.5
33,Authority,0.09717798310953674,0.12296700043918474,1.4605353075304098e-05,0.3
34,Purity,0.17199248438557646,0.2072532002726032,4.587207247606103e-05,0.99
35,Care,0.0400219856982279,0.07742146485844703,3.4932397932167907e-05,0.1
36,Fairness,0.01704133070300551,0.0237657640474479,0.00016215199336173713,0.99
37,Loyalty,0.09324245682187327,0.20188824584123122,2.3239123696445572e-05,0.9
38,Authority,0.06164231143266852,0.13819114370546404,3.2909298295851364e-05,0.9
39,Purity,0.10588364797128536,0.22795622062918142,4.479072787015121e-05,0.99
40,Care,0.03442813324732441,0.07220326631571583,6.750537379130808e-05,0.3
41,Fairness,0.003316498332810225,0.037269345204539395,8.316452304954137e-05,0.99
42,Loyalty,0.17929089332823034,0.1726402996075277,5.214283494941177e-05,0.99
43,Authority,0.11071244281491621,0.12307428612682725,3.13390316193118e-05,0.9
44,Purity,0.20503455516570857,0.20346126476940984,5.1194617150929256e-05,0.99
45,Care,0.0477121105020486,0.06833262914086646,7.444533509920824e-05,0.1
46,Fairness,0.002158680863799778,0.035270264471426005,8.449374990639319e-05,0.5
47,Loyalty,0.15671666988681865,0.18931976059811717,8.479537683197272e-06,0.7
48,Authority,0.10868124200273721,0.129545965759725,2.551319450880167e-05,0.9
49,Purity,0.19094275798521498,0.20779093938761206,5.357532269298175e-05,0.99
50,Care,0.05018565883662873,0.07439589114991951,5.1116783893840454e-05,0.1
51,Fairness,0.0035325873791329787,0.033547644467784465,0.0001412365300833723,0.99
52,Loyalty,0.09929316223615281,0.19789858658000048,9.64044405026958e-06,0.5
53,Authority,0.07717210222895776,0.13488295400071026,9.998026905271124e-06,0.5
54,Purity,0.12210779360557267,0.22530759318260807,2.2495278614567666e-05,0.9
55,Care,0.04241821434823967,0.07129854082863663,6.228839720988401e-05,0.1
56,Fairness,0.007519264768598988,0.02239149206881408,0.00016007923974791985,0.01
57,Loyalty,0.13892652612375722,0.1904031931227006,8.474568375055848e-06,0.5
58,Authority,0.08482758028048687,0.13229466641296828,3.751597626661953e-05,0.99
59,Purity,0.16060810627259836,0.21486332339222936,5.2577008518122725e-05,0.99
60,Care,0.037079214161080065,0.07756255777424215,3.862615731918074e-05,0.1
61,Fairness,0.00722989949072228,0.02644493390710867,0.00016741510905843377,0.99
62,Loyalty,0.13981952053770486,0.1863905809201838,1.1404829762492172e-05,0.5
63,Authority,0.09086144870046697,0.1241892900078404,2.8773035164518057e-05,0.7
64,Purity,0.2044022155458416,0.20043316783208742,6.859310844657724e-05,0.99
65,Care,0.03454821164742061,0.07445082522886981,6.116359693142037e-05,0.1
66,Fairness,0.0054995574192368,0.034652630885493085,9.433823413099418e-05,0.9
67,Loyalty,0.1672825186930773,0.17824914102317801,4.9542995604842425e-05,0.99
68,Authority,0.0528767463118065,0.1358028658895818,3.8815912074736585e-05,0.9
69,Purity,0.17085122144784948,0.21275251811329354,4.6075629148976544e-05,0.99
70,Care,0.03965710725649807,0.0666842990740133,0.00010915293254185633,0.5
71,Fairness,0.013752029400462384,0.032388538334086614,0.00011608407195583915,0.99
72,Loyalty,0.15375322941891922,0.17169527690457864,7.823631135146051e-05,0.99
73,Authority,0.10940221090619606,0.12041118961964337,2.881354880689803e-05,0.7
74,Purity,0.1951379987190044,0.20337471544045893,5.542138166225065e-05,0.99
75,Care,0.025056525442760935,0.08178720897975211,4.348009519452885e-05,0.1
76,Fairness,0.013463687947203096,0.030100267510347445,9.884783978532607e-05,0.5
77,Loyalty,0.12187712188127509,0.1887636610888136,4.673849316335741e-05,0.99
78,Authority,0.060406968889373025,0.13773875561340887,3.96791155840004e-05,0.99
79,Purity,0.15440185025806608,0.21975148214745477,3.719010956804068e-05,0.99
80,Care,0.03810390633920291,0.07975960453698927,4.090819259696317e-05,0.1
81,Fairness,0.0021370716025033154,0.03174777127372608,0.00013147989344849077,0.99
82,Loyalty,0.1254591150656057,0.1899504523477339,4.491643311123123e-05,0.99
83,Authority,0.09101285255791569,0.12898067011578096,3.1734283242819124e-05,0.9
84,Purity,0.16285539144822192,0.21371534092958877,4.359109074338615e-05,0.99
85,Care,0.043910713191562034,0.0645398336341314,9.94694458261277e-05,0.1
86,Fairness,0.008822124860653702,0.035622422025124445,6.950022731022241e-05,0.3
87,Loyalty,0.18073329161536855,0.17691843960186238,9.166292178613215e-06,0.5
88,Authority,0.11586097519839078,0.11770625675398394,1.379191894253561e-05,0.3
89,Purity,0.21419514004481766,0.20087449156932824,2.494391418184434e-05,0.9
90,Care,0.036993261714745485,0.07019062242860663,7.92996780043247e-05,0.3
91,Fairness,0.011611867819216637,0.026290170005668134,0.00015077577482714154,0.99
92,Loyalty,0.11743172850839778,0.19254992175890295,4.7906237450768404e-05,0.99
93,Authority,0.05577294677556166,0.1365350987595082,4.1949789014114496e-05,0.99
94,Purity,0.12305849511054867,0.22068944595882034,4.515222961496825e-05,0.99
95,Care,0.056173147593200135,0.06544185233366262,8.663455504205137e-05,0.5
96,Fairness,0.007113199888722943,0.028130856189076625,0.00012167080822720382,0.01
97,Loyalty,0.1254126354928803,0.18979792957766517,1.0588710065849612e-05,0.5
98,Authority,0.07458135929000786,0.13280050802131338,3.5350587984947087e-05,0.9
99,Purity,0.1713293656295518,0.20904394067701426,5.600665701513689e-05,0.99
100,Care,0.05937857089686038,0.06392746401697857,6.868867015585452e-05,0.1
101,Fairness,0.006393251215133899,0.030970807213039464,0.00013894806463508096,0.99
102,Loyalty,0.10115130698723296,0.19102870223435964,5.826024860971959e-05,0.99
103,Authority,0.05417168824463292,0.13531091312357224,2.260524296710832e-05,0.7
104,Purity,0.16040138638525303,0.2150212603056746,4.0293046784680813e-05,0.99
105,Care,0.0011361296634229134,0.08627313175487039,3.836475543709432e-05,0.1
106,Fairness,-0.002064823604913224,0.03236649768484101,0.00010495363670900957,0.3
107,Loyalty,0.19090332966544277,0.16541172720934716,1.3995277817132613e-05,0.3
108,Authority,0.09952899160075679,0.12145472270185509,1.5212783491189783e-05,0.3
109,Purity,0.2221798426945103,0.19618811852383244,5.40062956373072e-05,0.99
110,Care,0.07758757968733776,0.0632955338458856,5.8127684880198535e-05,0.1
111,Fairness,0.00428548325632605,0.035499470889850615,0.0001036549220968072,0.99
112,Loyalty,0.1323753566644148,0.18846980617609121,5.206993239785067e-05,0.99
113,Authority,0.0934471685720838,0.1296986786649763,1.7642842874838472e-05,0.7
114,Purity,0.16493509635090708,0.21530248800664575,5.351307590140301e-05,0.99
115,Care,0.034733044893037746,0.08032071361082427,4.083907018705332e-05,0.1
116,Fairness,0.028330288281249283,0.02340228184323534,0.00014678731255735744,0.99
117,Loyalty,0.15294350863169526,0.17894179033273383,5.6261194862831704e-05,0.99
118,Authority,0.08685989945439754,0.12737240792121152,3.5310475657982754e-05,0.9
119,Purity,0.17824074546762758,0.2098277979616019,5.2238876272125245e-05,0.99
120,Care,0.02185766369815456,0.077214207610517,6.548881820201366e-05,0.1
121,Fairness,0.014665417595127406,0.02254169916263049,0.00017894451048578353,0.99
122,Loyalty,0.11808430198067654,0.19780111650396726,1.798325247352273e-05,0.9
123,Authority,0.07131641006778477,0.1370845285077733,9.17990135844243e-06,0.3
124,Purity,0.15100289287180912,0.21996088233808153,4.7228950923286e-05,0.99
125,Care,0.012988024647108687,0.08258498724848917,4.095636605999519e-05,0.1
126,Fairness,0.005163057636701662,0.03285542209867032,0.00012794718039015122,0.99
127,Loyalty,0.16223999924734245,0.16367849374825116,9.382393690310975e-05,0.99
128,Authority,0.1189579199345121,0.12004868304985272,2.6067966658643173e-05,0.7
129,Purity,0.20991994337290532,0.2016719766147358,4.771943876462361e-05,0.99
130,Care,0.04182300057156507,0.07381515851805887,7.446375281817134e-05,0.5
131,Fairness,0.007272812120127536,0.03261507240406203,0.0001383657504068574,0.99
132,Loyalty,0.08955469626152046,0.19654968214470903,3.4969868662392685e-05,0.99
133,Authority,0.06500058959695632,0.1359615533295736,9.188818714453683e-06,0.3
134,Purity,0.13810229946032182,0.215645101631038,5.1094461904465105e-05,0.99
135,Care,0.032462742478285844,0.07268693761653144,6.22920726896393e-05,0.1
136,Fairness,-0.0049438601337667976,0.03492490855814112,9.59510429434178e-05,0.7
137,Loyalty,0.1506576919212128,0.18132087176666478,2.8753112623079015e-05,0.9
138,Authority,0.1156999862119309,0.11717425156001038,1.6352535975188123e-05,0.5
139,Purity,0.1823947385441398,0.2045603652447079,6.624452200037748e-05,0.99
140,Care,0.049012961772907926,0.0715823425699389,7.15098963472815e-05,0.5
141,Fairness,-0.0033714818674002167,0.026837730338769794,0.00014800339943459799,0.01
142,Loyalty,0.11641356947317671,0.18957009170787653,3.236731289653562e-05,0.9
143,Authority,0.041330721725287733,0.1398354774246514,3.02712559859145e-05,0.9
