,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.08111594051588811,0.08865318530464028,2.4150011849549707e-05,0.3
1,Fairness,0.007736728290944295,0.0662849240759742,3.822619174762238e-05,0.99
2,Loyalty,0.14909647217780175,0.1965809262638072,1.7307566169003267e-05,0.99
3,Authority,0.09848204685747197,0.12475314036207252,5.886361343456804e-05,0.99
4,Purity,0.14055827720535052,0.22540985321723106,1.1559679418372725e-05,0.9
5,Care,0.07357230240313706,0.087038419695315,6.973319646570391e-05,0.99
6,Fairness,0.036472885848110925,0.05997195868448346,3.723315436845879e-05,0.99
7,Loyalty,0.15967267476365632,0.19922651820721549,8.726595699765456e-06,0.99
8,Authority,0.11794902989397771,0.14108868047348333,5.940650233878929e-06,0.99
9,Purity,0.17924861890619292,0.22191111630113858,1.027015412191145e-05,0.99
10,Care,-0.023449730381706724,0.10894927562659984,3.291594720509135e-05,0.9
11,Fairness,0.02892796796916397,0.05087262204965337,5.565374041663592e-05,0.99
12,Loyalty,0.10143564169421948,0.20143644112838732,8.391615165125055e-06,0.99
13,Authority,-0.0010286358216944347,0.14287441673641432,9.464945142297801e-06,0.7
14,Purity,0.18151601698173514,0.21177640606943238,1.0220441934994529e-05,0.9
15,Care,0.05533654475460148,0.09316906400515712,5.1651642551892516e-05,0.9
16,Fairness,0.03165343185176406,0.061651469353125044,3.963697991514763e-05,0.99
17,Loyalty,0.13392731495346544,0.19137826924936197,1.5762831810586626e-05,0.9
18,Authority,0.07214779551183581,0.13317876179549948,5.224796592392519e-05,0.99
19,Purity,0.17658786861173403,0.21570260860929524,1.0429082105840359e-05,0.9
20,Care,0.08129324380197367,0.08331771163703472,4.148816805549212e-05,0.5
21,Fairness,0.04295390021207646,0.058801489032712984,2.580653634844971e-05,0.9
22,Loyalty,0.10673515960421576,0.2031798996428702,9.86824769230564e-06,0.9
23,Authority,0.0571041383405162,0.1414664860216871,1.2237305873840335e-05,0.5
24,Purity,0.14532314068208396,0.21917636249753714,1.2880627190316112e-05,0.9
25,Care,0.10238754849585685,0.08241845663529446,5.9233717245677625e-05,0.99
26,Fairness,0.0338540389639117,0.057904965514453455,4.5444840641750784e-05,0.99
27,Loyalty,0.047116464999332974,0.20826025433997597,2.6355987227663334e-05,0.99
28,Authority,-0.03276683533747904,0.1529770517551593,3.4660113774036515e-05,0.99
29,Purity,0.11064936954710625,0.23418767062401113,1.0403244708372408e-05,0.99
30,Care,0.04641792219725327,0.10233996689384972,4.429032899626134e-05,0.99
31,Fairness,0.005285317188271632,0.06569842011552618,3.236580656428277e-05,0.99
32,Loyalty,0.14435513388871068,0.19819232793235309,1.132773191275858e-05,0.99
33,Authority,0.09546924177004301,0.12908295143183968,2.3010174449751328e-05,0.7
34,Purity,0.15549336756112642,0.21547913186543044,1.436842638340688e-05,0.9
35,Care,0.05796618572134671,0.09021146820944281,2.9310519031039802e-05,0.3
36,Fairness,0.04518561062473636,0.05738722456654255,3.2908978278749327e-05,0.99
37,Loyalty,0.12861219648851363,0.20187296892819628,1.0284595021932025e-05,0.9
38,Authority,0.0807337092729623,0.13530335157003048,4.791586698498494e-05,0.99
39,Purity,0.17988492680353807,0.21586775758944754,1.1329662237260612e-05,0.9
40,Care,0.035282558621878235,0.09802587373556604,1.715933943507852e-05,0.3
41,Fairness,-0.00039853901920916535,0.06532517698020812,4.215404409225102e-05,0.99
42,Loyalty,0.20796377370554353,0.1866950460386847,9.311793117040469e-06,0.99
43,Authority,0.12526838534929607,0.1209108696789798,3.396150388217518e-05,0.9
44,Purity,0.22706116846791724,0.2011365182918875,2.9983650642711177e-05,0.99
45,Care,0.06871846136595028,0.0876744731846838,3.2602321473676595e-05,0.3
46,Fairness,0.03357221767501306,0.05736065052711248,3.9997720433976734e-05,0.99
47,Loyalty,0.19137892251666355,0.19139189868277784,1.4562420369793003e-05,0.99
48,Authority,0.12479643720890965,0.10599100595484134,9.491723689498303e-05,0.99
49,Purity,0.17759212755406417,0.21865037637967688,2.0016408106047528e-05,0.99
50,Care,0.07778195331285453,0.08868881997707312,3.968154088714889e-05,0.7
51,Fairness,0.04210784495617881,0.04823393549615573,5.7697121241987546e-05,0.99
52,Loyalty,0.12283072373683179,0.19580285360379457,2.029410874800578e-05,0.99
53,Authority,0.12049129928758084,0.14033776741793713,6.64805956242685e-06,0.9
54,Purity,0.12322729316132108,0.2306840338592706,9.813963972661086e-06,0.99
55,Care,0.06739074963728164,0.0910578119512937,2.317946595552976e-05,0.3
56,Fairness,0.03925406411174992,0.04747679627584689,5.0556965735794944e-05,0.99
57,Loyalty,0.1648639936763081,0.1942178018945605,1.2577097775828229e-05,0.99
58,Authority,0.0898249435883498,0.12314349732601115,3.653860273330128e-05,0.7
59,Purity,0.18414247440813358,0.21216525111761686,1.0827668434628284e-05,0.9
60,Care,0.03360377256064784,0.0931048260939652,3.080897925920345e-05,0.3
61,Fairness,0.0025440804690551877,0.06720679073569602,3.326163287566629e-05,0.99
62,Loyalty,0.05189951817028715,0.20180225232206261,2.2886252587836786e-05,0.99
63,Authority,-0.007549648128534425,0.14101731638770887,1.1272677081869924e-05,0.5
64,Purity,0.13280480068584288,0.21975823333737776,1.0589569728533437e-05,0.9
65,Care,0.06176295469317805,0.09019387906104515,7.038276132250957e-05,0.99
66,Fairness,0.002252266568026906,0.07137402690666605,3.340686381756777e-05,0.99
67,Loyalty,0.15718150999236813,0.18713033802991152,3.065615627273235e-05,0.99
68,Authority,0.09117061652993452,0.1340223480942171,4.025173899640993e-05,0.99
69,Purity,0.15529577226667546,0.2232798878950366,1.1438568198747345e-05,0.9
70,Care,0.05216232098357365,0.08441401897874878,4.5208119720106724e-05,0.1
71,Fairness,0.024793867105304623,0.06009334712547487,4.582380461058993e-05,0.99
72,Loyalty,0.12831970750279087,0.205849135973598,8.69513212127996e-06,0.99
73,Authority,0.07648575847872907,0.13665956756161823,4.328325802687305e-05,0.99
74,Purity,0.20004592042546976,0.20920573311631363,1.1197721588444651e-05,0.9
75,Care,0.025766118433859675,0.10183066910404681,2.0627797284045066e-05,0.3
76,Fairness,0.013274546182844182,0.059934382433583844,5.004272820239393e-05,0.99
77,Loyalty,0.12229038326027863,0.206625757818529,1.2123394117606498e-05,0.99
78,Authority,0.09328268909471471,0.13299660590993556,2.920551962459873e-05,0.9
79,Purity,0.1385496011788605,0.2218453124971319,2.5773604265254074e-05,0.99
80,Care,0.04186228589924956,0.1008883907252136,4.1255701018554475e-05,0.9
81,Fairness,0.01657438402097622,0.057746000969425615,4.735317307651136e-05,0.99
82,Loyalty,0.1599794716718408,0.19159624219144644,1.814035236686414e-05,0.99
