,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.01524709934350621,0.01655247922521974,1.7882267303157798e-05,0.9
1,Fairness,0.0031458515589462,0.011343897879302123,1.4746082807317294e-05,0.9
2,Loyalty,0.02441506698273821,0.02674390930736148,4.781206632981374e-06,0.99
3,Authority,0.03169483825352526,0.02025478121570745,5.148884146352403e-06,0.99
4,Purity,0.03410136989951551,0.03336656510437708,3.958538125199917e-07,0.9
5,Care,0.016218006647387373,0.020960457514029862,1.0609950879061238e-06,0.3
6,Fairness,0.0062020924494067264,0.009493581455038647,5.54332267400328e-06,0.1
7,Loyalty,0.02234113138456284,0.027102840627440283,7.818910734387645e-06,0.99
8,Authority,0.008322615342925221,0.026989015941907835,7.313978323087926e-06,0.99
9,Purity,0.019864637181452593,0.03711613250575485,6.4812343333978e-07,0.9
10,Care,0.00957730950604041,0.020229747026932254,1.8961767774266317e-05,0.99
11,Fairness,0.0008793472721702056,0.010965810864423609,3.2282555972862624e-05,0.99
12,Loyalty,0.019545482027255923,0.026683758507799804,5.119723695974268e-06,0.99
13,Authority,0.007093615516704621,0.025994976898767286,3.128430163797887e-06,0.99
14,Purity,0.021832415288874918,0.0358302561705236,6.096852499981573e-06,0.99
15,Care,0.008745547642313278,0.022167624327461888,1.7356580466099755e-05,0.99
16,Fairness,0.00967764371294988,0.0070001899644953625,2.9033419184452013e-05,0.9
17,Loyalty,-0.013401162593668747,0.031597701067018646,1.0362876871276446e-05,0.99
18,Authority,-0.00018689995881326915,0.026874737401810567,9.777164295091256e-07,0.9
19,Purity,0.010681284898364951,0.03640790613977929,7.554344322739461e-07,0.5
20,Care,0.013043105366643881,0.018210487934773645,2.973789174087002e-06,0.1
21,Fairness,-0.003039411718974927,0.009617911064933038,5.6171074157003815e-05,0.99
22,Loyalty,0.019492615801413038,0.026880563323703588,4.226622989125982e-06,0.99
23,Authority,0.009196500371730143,0.024915658404190855,6.240375911113878e-06,0.99
24,Purity,0.03278060830005014,0.031855552005547794,5.64843657492659e-06,0.99
25,Care,0.01139402543201018,0.017807481612727938,2.3253741580368645e-05,0.99
26,Fairness,0.0016030366868845514,0.008234685999656044,5.342754470030685e-05,0.99
27,Loyalty,-0.005287894229053736,0.0317784693963028,1.1210413770983135e-05,0.99
28,Authority,0.0022403688547305567,0.027241600354538265,8.031554585229368e-06,0.99
29,Purity,0.010334077728774815,0.036892338272339065,1.0321721980126445e-05,0.99
30,Care,2.3430656465373012e-05,0.022791882930909835,2.1129970466073364e-05,0.99
31,Fairness,-0.014180648839242638,0.011750767964184172,3.8130491438738816e-06,0.1
32,Loyalty,0.024241996592156312,0.02619785921651241,2.7814081351629866e-06,0.99
33,Authority,0.020618974120117373,0.023457530725647935,3.816867992306449e-06,0.99
34,Purity,0.04411772167001149,0.030315694913065294,5.314129406353076e-06,0.99
35,Care,0.010346831240540921,0.02043311733056219,1.2152197927185065e-05,0.99
36,Fairness,0.00470830866723293,0.011867663474232848,3.851680990043402e-06,0.1
37,Loyalty,0.004343487226219578,0.031587390781821156,2.623266403014987e-06,0.99
38,Authority,-0.002354660625658145,0.029712325156398434,3.0206993111558027e-06,0.99
39,Purity,0.01430397249959603,0.03671580136783503,4.5456819105139767e-07,0.7
40,Care,0.01025087434208527,0.014959041228168046,3.5569311271724882e-06,0.1
41,Fairness,0.002934131753814073,0.0038137879075881287,7.590702589724252e-05,0.99
42,Loyalty,0.0254748537931877,0.02595775968820835,4.855673087066426e-07,0.9
43,Authority,0.029760919142902797,0.02068324899855367,4.458200188876268e-06,0.99
44,Purity,0.02429135547703487,0.03576298385393495,6.646046403498341e-07,0.9
45,Care,0.00512086465022088,0.022939192910398587,2.159400152576586e-05,0.99
46,Fairness,-0.004441154380814272,0.009628652437406515,4.628231948722538e-05,0.99
47,Loyalty,0.033277379979041566,0.024128388465969097,4.843418498791755e-06,0.99
48,Authority,0.023214716618674136,0.023324690606885246,3.101751906724313e-07,0.7
49,Purity,0.025294011120093884,0.034941257417386296,3.958600200181774e-06,0.99
50,Care,0.01206117515652394,0.020273445544509827,1.6689202753187136e-05,0.99
51,Fairness,0.0034937942468832306,0.011472816501803318,3.8943264579436615e-06,0.1
52,Loyalty,0.016612909341249926,0.026846464767391942,9.081335635859092e-06,0.99
53,Authority,0.030193476335536817,0.02114468469438291,3.7124012522222234e-06,0.99
54,Purity,0.009838920880613777,0.03936318440970732,5.44109014818552e-06,0.99
55,Care,0.0010963810119720696,0.02296809613401052,1.5396107234089416e-05,0.99
56,Fairness,0.0016147644246020665,0.007981367768898684,6.05836681918056e-05,0.99
57,Loyalty,0.03050177426386136,0.024157206553623523,6.134784478298843e-06,0.99
58,Authority,0.0182865087458981,0.022763066184500746,6.829649530797544e-06,0.99
59,Purity,0.03943932222850732,0.02942205044274171,7.835302084228716e-06,0.99
60,Care,0.01663419263615007,0.019137749322107322,1.8493231243464224e-05,0.99
61,Fairness,0.010366996433182507,0.004037274633545418,6.670354598532077e-05,0.99
62,Loyalty,-0.0016907638687113646,0.03356645274256076,5.378409061460921e-06,0.99
63,Authority,0.004849676595694796,0.027841071285751195,6.048245872725113e-06,0.99
64,Purity,0.018609223896657978,0.0369657786533405,4.32202813680486e-06,0.99
65,Care,0.0200965438242674,0.01557657304217741,2.685702014492661e-06,0.1
66,Fairness,0.002711199834532163,0.010481306518676403,2.172297277897557e-05,0.9
67,Loyalty,-0.005637974577812788,0.034003850092651056,3.3133746177949426e-06,0.99
68,Authority,-0.018836680615546886,0.032507991941087,3.211793812259758e-06,0.99
69,Purity,-6.236453332686409e-05,0.041068828749823205,4.104166189250048e-07,0.9
70,Care,-0.0071819965470438785,0.024654140965238325,1.0038661889336594e-05,0.99
71,Fairness,0.00017244558003537414,0.013146861370984753,3.313404661903316e-06,0.1
72,Loyalty,0.04522550150194238,0.02070978513789279,6.9939132924387694e-06,0.99
73,Authority,0.03391837886640903,0.019631584882703335,7.115364733671073e-06,0.99
74,Purity,0.03989677884631049,0.029616167229258528,4.866942088768812e-07,0.7
75,Care,0.02259531610891452,0.01848540687653022,1.6631526857231884e-05,0.99
76,Fairness,0.0033486547371391895,0.007574531045797195,5.799561960244996e-05,0.99
77,Loyalty,0.022419897191639393,0.02745396719412685,2.757296483254056e-07,0.7
78,Authority,0.008492159928355503,0.02640082341016936,4.4659002388263705e-06,0.99
79,Purity,0.01370435234574996,0.03836377637698285,5.946821226231797e-07,0.9
80,Care,0.0172862246409744,0.016535503713096755,2.5372934550758195e-06,0.1
81,Fairness,0.009456798490798835,0.007321713793961959,4.1657063296300124e-05,0.99
82,Loyalty,0.005613853510984201,0.03069182780142088,8.341952206085069e-06,0.99
83,Authority,0.015229985768944632,0.02467616906167258,5.615859498851904e-06,0.99
84,Purity,0.02984031536144749,0.03348631671984381,6.451517233687615e-07,0.9
85,Care,0.012996955223254059,0.01891568379834563,2.2720745896496016e-05,0.99
86,Fairness,0.004843613748856557,0.011081056388687838,4.225483264533472e-06,0.1
87,Loyalty,0.03688213197648682,0.02201137148361565,3.662719533061374e-06,0.99
88,Authority,0.02355016659893705,0.020796460038561726,4.686909723925566e-06,0.99
89,Purity,0.04427109975830301,0.029758411983823896,5.012213758433593e-07,0.7
90,Care,0.019692554319252542,0.02111328907181209,7.552174115667572e-07,0.5
91,Fairness,0.006227409111635773,0.00986945269332029,3.8039978408126253e-06,0.1
92,Loyalty,-0.0023837343923400756,0.031872783989235876,9.439122434163642e-06,0.99
93,Authority,0.007621403161585327,0.027260324725349228,3.359876955268898e-06,0.99
94,Purity,-0.024580182999759614,0.04109707451748412,5.867802702840906e-06,0.99
95,Care,-0.008827138003566937,0.02451256100103294,1.8070772256589993e-05,0.99
96,Fairness,0.001794613065804529,0.011512980815213236,5.0943098782744346e-06,0.1
97,Loyalty,0.023768452935534534,0.02639092525272002,5.91600155743189e-06,0.99
98,Authority,0.010401398743183465,0.024557692518926144,7.765636300465388e-06,0.99
99,Purity,0.03247560000802485,0.03169251116569782,8.373690508051505e-06,0.99
100,Care,0.014769178333391864,0.019028712847764417,1.1319790549653782e-06,0.3
101,Fairness,0.002467617652203713,0.012184535636496463,3.392614891084235e-06,0.1
102,Loyalty,-0.012966534523008333,0.032606413656716016,8.75350759791958e-06,0.99
103,Authority,0.005246075573086539,0.02718356839927283,4.564668189715499e-06,0.99
104,Purity,0.005014552746573253,0.037908558377099943,1.3034937664067593e-06,0.9
105,Care,0.007655556605059455,0.016408405748218002,1.028767358951898e-05,0.7
106,Fairness,-0.0026407493288469475,0.009122886380331652,5.607360434042111e-05,0.99
107,Loyalty,0.019790043648717393,0.027021368083144703,6.472470197546876e-06,0.99
108,Authority,0.015925716925467626,0.023995640168972265,2.385619597439968e-07,0.5
