,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.04368452424094915,0.06205184800975805,1.1371182440224225e-05,0.3
1,Fairness,-0.011582281833516062,0.023924610576887217,9.285517944580583e-05,0.99
2,Loyalty,0.06654928026475171,0.08507200551658611,7.181024583376444e-05,0.99
3,Authority,0.034534927899831036,0.0630849072642734,0.00010558961942064117,0.99
4,Purity,0.048771563742346924,0.10535032056435811,6.567388162082191e-06,0.7
5,Care,0.07121438659570933,0.05577260022873587,4.296310798099611e-05,0.99
6,Fairness,0.007950886547818392,0.019938770052390864,6.61401487779085e-05,0.99
7,Loyalty,0.09250583731744755,0.07890943044945387,3.611093794818806e-05,0.99
8,Authority,0.07769976652874966,0.05028444442648794,8.942292208855931e-05,0.99
9,Purity,0.09417232533189579,0.09102164898219622,1.2167938499398692e-05,0.3
10,Care,0.023681814489056374,0.06698463988024728,1.4370926037550954e-05,0.5
11,Fairness,0.008228177453315833,0.02034930139953295,7.288325736580602e-05,0.99
12,Loyalty,0.09901193223128701,0.07678538505897925,4.240494790742059e-05,0.99
13,Authority,0.05509299847133531,0.05573302339026809,8.573422664821744e-05,0.99
14,Purity,0.09157949025408496,0.09185715698587815,4.315949890204513e-05,0.99
15,Care,0.059274981663959614,0.059147342516788104,6.761952736431227e-06,0.5
16,Fairness,0.0197373757095598,0.012778553802046955,0.00010874488944386683,0.99
17,Loyalty,0.06205755458046125,0.08386288782311235,2.8693402443809036e-05,0.7
18,Authority,0.04602774775369389,0.05898394355965131,2.4693207459358363e-05,0.5
19,Purity,0.09221536306054812,0.09168440832124414,1.5320194793271478e-05,0.3
20,Care,0.05438399657269011,0.06087212245904716,3.1308087788468924e-05,0.99
21,Fairness,0.023644312122892086,0.01536311085596831,9.413993455973386e-06,0.1
22,Loyalty,0.04237467445690701,0.0886378913817436,8.282966074665989e-05,0.99
23,Authority,0.03650446443960231,0.06197232589161661,6.559079334417935e-05,0.9
24,Purity,0.10241351867927939,0.09007393410516373,1.4306937086962028e-05,0.5
25,Care,0.07870944220732068,0.053620643855925465,3.373673824102213e-05,0.9
26,Fairness,0.018318065305014564,0.016860542384241728,6.49740264785398e-05,0.99
27,Loyalty,0.05532019996089832,0.08722666564796655,6.653087699614179e-05,0.99
28,Authority,0.02967217977415504,0.0639552237740697,8.822525159995629e-05,0.99
29,Purity,0.028229804776686573,0.1080706971567551,1.0610621155514868e-05,0.7
30,Care,0.0296241505150302,0.06799815143987409,4.609876982832238e-06,0.5
31,Fairness,-0.013699247384337365,0.021169248844673638,6.925482944392473e-05,0.99
32,Loyalty,0.07807893556477585,0.08149899827394302,1.337491434602124e-05,0.5
33,Authority,0.06988017136924818,0.05276999515643288,0.00010195654361995016,0.99
34,Purity,0.10832148201870628,0.08734634258437501,1.1396895304114309e-05,0.3
35,Care,0.05322248518219086,0.059169900569840506,8.369602889209771e-06,0.3
36,Fairness,0.01764770140751648,0.015121493791944496,0.00012325732835907798,0.99
37,Loyalty,0.046827024400307504,0.08961837603507905,9.31575607084643e-05,0.99
38,Authority,0.025394441910532417,0.0650080066827855,8.826143775915533e-05,0.9
39,Purity,0.07688418621302684,0.09591581551236705,1.1975993754359619e-05,0.5
40,Care,0.04593334147947403,0.06027584716132117,6.661455101050896e-06,0.3
41,Fairness,0.0017173078575299927,0.017237887200806434,0.00010283904650510562,0.99
42,Loyalty,0.09376324459162033,0.07657576735087657,7.284057005413558e-05,0.99
43,Authority,0.06627139176984531,0.054285315917550925,5.71670026820102e-05,0.9
44,Purity,0.10753498013325902,0.08754972957255802,1.259159916329314e-05,0.3
45,Care,0.04765259760684515,0.06232135467365618,6.356552500949752e-06,0.3
46,Fairness,0.00846647115601007,0.017475963173810616,8.726948646162364e-05,0.99
47,Loyalty,0.09845416104435278,0.07628696675867541,6.857372677495381e-05,0.99
48,Authority,0.07235239016614792,0.05283406131966084,7.045429924686873e-05,0.9
49,Purity,0.09601691969897186,0.09155113109033941,1.0725249448272774e-05,0.3
50,Care,0.06775533398127609,0.057167072114946205,1.0383111381007204e-05,0.7
51,Fairness,0.010724612240750386,0.01765168147973728,0.00010737259626549324,0.99
52,Loyalty,0.0517334781517691,0.08881354626511373,9.89337279472438e-05,0.99
53,Authority,0.05208394849136566,0.05816204126463742,9.19136906360041e-05,0.99
54,Purity,0.07075228249002596,0.09904429265444459,5.0973544278319464e-05,0.99
55,Care,0.06355970246871323,0.056933137396322664,7.5658907222379534e-06,0.3
56,Fairness,0.024046723502855305,0.013662551767076203,6.801145803124993e-05,0.99
57,Loyalty,0.08505399625023369,0.07836128086439809,2.3770612244477024e-05,0.7
58,Authority,0.05732911760312853,0.055851476231024044,3.941323359702025e-05,0.7
59,Purity,0.0717701346932833,0.09657917621093015,1.0847089876706005e-05,0.3
