,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.02558432049907322,0.043779706235161475,1.3196807385832292e-06,0.9
1,Fairness,0.003041145617971641,0.019411527189461042,4.543861998843401e-07,0.5
2,Loyalty,0.04659305429386651,0.05950751622384176,1.9726435925127824e-05,0.99
3,Authority,0.0420859205164279,0.035855673216588446,2.3150149295709378e-05,0.99
4,Purity,0.09414497066942196,0.11094764002708946,3.572302038404711e-05,0.99
5,Care,0.041245221361392526,0.029313825893788725,0.00010339928254813877,0.99
6,Fairness,0.010890493884057828,0.012318530315205356,4.191306985469018e-06,0.1
7,Loyalty,0.06764083312873037,0.052975674768519054,3.208359558309946e-06,0.3
8,Authority,0.03529023128451114,0.03899038255878018,1.794024227054649e-06,0.5
9,Purity,0.12589218509259736,0.10128081642703257,5.5115344577362835e-05,0.99
10,Care,0.032712974616770474,0.03927739378146178,2.504606813012206e-05,0.99
11,Fairness,0.003946428161313076,0.019412912796363035,8.254817180515187e-07,0.5
12,Loyalty,0.053125028874798086,0.05643132025372111,4.153803898200988e-05,0.99
13,Authority,0.03580666031555835,0.03695332683058827,3.1506606104172744e-05,0.99
14,Purity,0.11128789610463463,0.10595934879926916,4.2012355937928976e-05,0.99
15,Care,0.0253542652509382,0.03370869207347815,8.251366846760478e-05,0.99
16,Fairness,0.002104456424597001,0.013991287490866311,5.492205458358474e-06,0.1
17,Loyalty,0.043234378578710264,0.058276629719944184,3.184652381204361e-05,0.99
18,Authority,0.016344126949048965,0.0421385782468352,2.5675537759702745e-05,0.99
19,Purity,0.09396411213088351,0.11131155348710264,3.7830269197092516e-05,0.99
20,Care,0.0247657542538553,0.033540113643254266,0.00012735724108168663,0.99
21,Fairness,0.005047409512226597,0.019541620160419382,6.278133304742379e-06,0.99
22,Loyalty,0.04700608113057647,0.05823060583941131,3.391458585314967e-06,0.3
23,Authority,0.02054064554147894,0.042657768589690837,4.40012235896175e-06,0.99
24,Purity,0.08862652270534288,0.11302854581314048,3.0965764528981826e-06,0.7
25,Care,0.03894865219624,0.03880830533480839,1.630525449144678e-05,0.99
26,Fairness,0.009934110973908283,0.01698976275378139,4.28447005165602e-06,0.99
27,Loyalty,0.0426978126439439,0.059090452207145816,3.5792111162080695e-06,0.3
28,Authority,0.03274959597291638,0.03768883970922554,3.75170772576049e-05,0.99
29,Purity,0.1040423892270721,0.10826601100430999,4.029467651294727e-06,0.7
30,Care,0.009928715644678676,0.04548926599571279,1.7579414333086423e-06,0.7
31,Fairness,-0.006127587218702324,0.016276339532140804,3.559482461710209e-06,0.9
32,Loyalty,0.06448346123744497,0.05151597163482169,6.1034579402606435e-06,0.3
33,Authority,0.041335591788072445,0.035227717669916725,3.745575543361183e-05,0.99
34,Purity,0.13820682622358538,0.09734149541972081,6.375069504957085e-05,0.99
35,Care,0.0240980021390097,0.0380086342388819,3.065368118223609e-05,0.99
36,Fairness,-0.0014585752260338758,0.020160551434241558,1.0405021021951628e-06,0.3
37,Loyalty,0.025381223156545563,0.06468954802030447,3.476093689409393e-05,0.99
38,Authority,0.010186305154156194,0.04724683248563599,4.9969432178540616e-06,0.99
