,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.04489076581626528,0.036137731446837185,1.5689469077362888e-05,0.3
1,Fairness,-0.002939315540007259,0.003676474832118637,0.0023873338593805816,0.01
2,Loyalty,0.07709199797106492,0.09490789068979444,6.266456231056269e-06,0.7
3,Authority,0.05941219852612423,0.0718213708656602,7.077578063898255e-06,0.5
4,Purity,0.08883768102310374,0.11575927348662696,1.2361066037813992e-05,0.5
5,Care,0.04523581086917772,0.040162732733628914,1.8237725328289284e-05,0.9
6,Fairness,-0.004859409974715012,0.010475912475588212,1.1713097617127577e-05,0.1
7,Loyalty,0.10189993814716103,0.08655413080966312,2.1490723078935085e-05,0.9
8,Authority,0.07735504441341012,0.06264313538634714,1.2018571367813535e-05,0.3
9,Purity,0.11263028120645746,0.11111142725343792,9.73836989270876e-06,0.7
10,Care,0.002415565655750851,0.04843964259583322,3.6527723087628474e-05,0.99
11,Fairness,0.0004372854232158607,0.0022894328941373,0.0038211861973483797,0.01
12,Loyalty,0.11237833013776166,0.08533122334952581,5.9523948488760065e-06,0.9
13,Authority,0.06480997900676555,0.07041124872578641,5.685633853635904e-06,0.7
14,Purity,0.0979957618941174,0.11354431664133402,5.851560339476149e-06,0.9
15,Care,0.021029345309647618,0.04510843396666864,1.4629883435178873e-05,0.7
16,Fairness,0.0005912806727254027,0.0013641690882307822,0.005676961816486952,0.01
17,Loyalty,0.08073111289804336,0.09198588966727206,3.16590741490654e-05,0.99
18,Authority,0.06656057545050531,0.06955376195762675,5.866928161365632e-06,0.5
19,Purity,0.10397205875101267,0.11267331856691976,1.1612724314546746e-05,0.5
20,Care,0.04214031864868806,0.03434989948469269,0.00015005161811929192,0.99
21,Fairness,-0.0007388858689596489,0.0,0.06189862571569918,0.01
22,Loyalty,0.04317959757637646,0.1010225340434372,3.613051838044938e-05,0.99
23,Authority,0.03656503998177163,0.07725708383931917,5.701593954291188e-06,0.7
24,Purity,0.11008177478911285,0.1128160132502789,2.0025506980654986e-05,0.9
