Foundation,R2,Representation,DocThreshold,Aggregation
Care,0.0371160152288077,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.001572652370556371,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.059048950633958874,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.052708361478816516,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08806211851242017,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03418091840060267,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-3.442997372953282e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.046889268011092944,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.01816604296584079,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.07018389115426737,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03299374234572816,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0031661598021950343,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.07127278738149134,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.048417239855236605,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.10675869554903884,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03409711532080828,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,8.442270352529978e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.03515539463599016,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03635193893023159,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.05901421811759122,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.023437422816178662,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.01135041448889762,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.04271556981581315,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.007736684782719161,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.059344163958190976,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.015327169299954813,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-3.4720144654110113e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.06236188476544303,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.044468101200559,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.07881446209820643,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.039400983808060334,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.001477905895166054,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.04779424303004731,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.04225674341081154,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.07351295513775924,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.0353889905169793,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-8.942900431132551e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.06778491050597935,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.04318427549066828,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.09393326572475047,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.05101627436226597,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,2.4100436525209545e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.04007388071983553,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.017144721797187512,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.06301964510620706,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.02383231205658498,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0037117123990044734,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.062376064186396185,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.046598572974788983,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.09083733446838482,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.010994775508054166,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.001981594986867563,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.059395251082801186,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.05036076270298085,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.06617228691336663,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.0491685989342836,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.00292544976888498,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.0710865871378491,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03416431197441805,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08501595152283348,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03289598871429589,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0010251492737609613,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.011252189529853962,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.00512005352215794,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.024682486706482883,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.035981168107628414,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0015584373394064155,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.05061638152709769,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.05298612444237005,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08353227429863908,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.040935610286426886,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.002445135110885177,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.06586273355933381,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03299386843608365,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.11520579271896092,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.04727093352752443,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.002107577630319657,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.029898364724770362,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03985092526334722,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.06736061308406605,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.023219186125286728,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.008946422881989323,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.06172266594479781,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.02128256457779609,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08089499303727099,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03429368766493568,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-7.491380997026732e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.03737630098647782,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.020250006026121148,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.03788064009878833,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03886029074592101,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.004639900001254249,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.08462724802723763,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.0604468378470665,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.09501866502256906,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.015437710601923673,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0078119854112215234,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.058343854356714415,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03939979197468546,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.1040718995260228,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.026636607820014868,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.0021051111661596345,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.09081876628478358,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.0616350110655961,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08973356226412066,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.028253784450228307,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,3.448377899556432e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.02686060597175266,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.025382165258067024,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.038815048252209716,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.030499521853943563,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.0022382640015627953,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.019547675481292104,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.030829142160261887,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.056703883257300136,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.057332203371000874,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.0017291876263247907,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.06182232460792302,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.00609890540006186,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.1147101380590012,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.014409361121815125,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0020021497846376413,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.05363236503061286,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03749128714239991,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08401001937575259,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.024101936719351125,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-9.092208515364408e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.04718901393907027,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.02319996747280495,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.04508168414571823,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.040055353399792604,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.002684924006006395,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.032139207862061585,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.0400082817347065,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.086553342908397,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.016109435203911504,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.001072675644289367,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.0770666722902511,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.05028694570104264,MFD2.DDR,NumberPosts>=10,MIL (mean)
